ts,query,response
2024-05-31 02:01:04.152,打扫房间一和卧室,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""5"",""1003""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 05:36:59.124,清洁卧室一卧室二,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1"",""2""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 00:06:26.670,开始清扫客厅餐厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1001"",""1002""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 05:18:48.217,清洁客厅儿童房,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1001"",""1010""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:17:57.364,扫拖客厅和厨房,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1001"",""1005""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:16:51.709,清洁客厅餐厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1001"",""1002""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:15:39.686,打扫厨房餐厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1005"",""1002""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:15:19.147,打扫阳台客厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1013"",""1001""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:14:13.596,清扫客厅和厨房,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1001"",""1005""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:14:32.195,打扫餐厅和厨房,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1002"",""1005""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:14:34.242,打扫客厅和卧室,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1001"",""1003""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:14:59.394,打扫客厅餐厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1001"",""1002""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:16:06.871,清扫卧室和客厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1003"",""1001""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:20:29.013,打扫客厅跟餐厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1001"",""1002""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:22:28.757,打扫房间和客厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1003"",""1001""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:21:51.114,打扫房间三房间四,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""5"",""6""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:19:50.279,打扫卧室和客厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1003"",""1001""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:22:37.204,打扫卧室和书房,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1003"",""1004""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:20:38.855,打扫沙发和茶几,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""2000"",""2002""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:23:18.319,打扫客厅厨房,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1001"",""1005""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:20:16.441,清洁客厅走廊一,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1001"",""2""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:09:29.007,清洗客厅餐厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1001"",""1002""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:12:01.103,清扫客厅餐厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1001"",""1002""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:04:48.716,打扫卧室儿童房,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1003"",""1010""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:03:05.593,打扫客厅和阳台,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1001"",""1013""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:26:35.904,清扫客厅和餐厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1001"",""1002""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:01:35.487,清扫客厅卧室,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1001"",""1003""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:24:57.531,打扫餐厅和客厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1002"",""1001""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:40:43.635,打扫走廊和客厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1012"",""1001""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:41:02.167,清扫餐厅客厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1002"",""1001""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:33:17.331,扫拖客厅餐厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1001"",""1002""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:56:48.331,打扫餐厅厨房,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1002"",""1005""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:56:09.038,打扫餐厅客厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1002"",""1001""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:55:13.712,清洁卧室和餐厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1003"",""1002""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:57:30.584,打扫阳台和卧室,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1013"",""1003""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:55:42.603,扫卧室卧室,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1003"",""1003""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:35:11.457,清洁客厅走廊,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1001"",""1012""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:29:23.606,清洁餐厅和客厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1002"",""1001""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:36:17.291,打扫卧室客厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1003"",""1001""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:34:03.722,打扫厨房和客厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1005"",""1001""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
2024-05-31 08:48:22.327,打扫厨房客厅,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""cleaner"",""property"":""area"",""property_unit"":null,""property_value"":[""1005"",""1001""],""reply"":"""",""skill_id"":""1104379"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1104379"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}"
